"label","variable","mean_dropout_loss","q10","q90"
"Random Forest","loc",0.031110686698922,0.0170401493930905,0.0430778371954842
"Random Forest","lOCode",0.0251697648756472,0.0110771581359816,0.0408921144215262
"Random Forest","b",0.022304133774722,0.0112469230116289,0.0354596384008149
"Random Forest","total_Op",0.0214714370596723,0.00791528732705205,0.0349503437738732
"Random Forest","lOBlank",0.0209438927085986,0.0089126559714795,0.0335710041592394
